id	ins_id	ins_name	ins_type	is_active	ins_category
1	3	ADCB, India	bank	1	1
2	196	AU Small Finance Bank, India	bank	1	1
3	161	Adarsh Bank, India	bank	1	1
4	414	Ahmedabad District Co-Op. Bank Ltd, India	bank	1	1
5	267	Airtel Payments Bank, India	bank	1	1
6	247	Akhand Anand Co-Operative Bank Ltd, India	bank	1	1
7	472	Akola District Central Co-Op. Bank Ltd, India	bank	1	1
8	342	Akola Janata Commercial Co-Op. Bank Ltd, India	bank	1	1
9	4	Allahabad Bank, India	bank	1	1
10	516	Amarnath Co-Op. Bank Ltd, India	bank	1	1
11	248	Ambernath Jai-Hind Co-Op Bank Ltd, India	bank	1	1
12	5	American Express Bank, India	bank	1	1
13	6	Andhra Bank, India	bank	1	1
14	193	Andhra Pradesh Grameena Vikas Bank, India	bank	1	1
15	499	Andhra Pragathi Grameena Bank, India	bank	1	1
16	504	Apna Sahakari Bank, India	bank	1	1
17	468	Arihant Co-operative Bank Ltd, India	bank	1	1
18	521	Associate Co-Op. Bank Ltd, India	bank	1	1
19	2	Axis Bank, India	bank	1	1
20	7	BNP Paribas, India	bank	1	1
21	156	Bandhan Bank, India	bank	1	1
22	8	Bank of Baroda, India	bank	1	1
23	9	Bank of India, India	bank	1	1
24	10	Bank of Maharashtra, India	bank	1	1
25	73	Barclays Bank, India	bank	1	1
26	387	Bassein Catholic Co-Op. Bank Ltd, India	bank	1	1
27	531	Bhagyodaya Co-Op. Bank Ltd, India	bank	1	1
28	536	Bihar Gramin Bank Ltd, India	bank	1	1
29	183	Bombay Mercantile Co-Operative Bank Ltd., India	bank	1	1
30	11	Canara Bank, India	bank	1	1
31	222	Capital Small Finance Bank, India	bank	1	1
32	111	Catholic Syrian Bank, India	bank	1	1
33	12	Central Bank of India, India	bank	1	1
34	14	Citibank, India	bank	1	1
35	385	Citizen Credit Co-Op. Bank Ltd, India	bank	1	1
36	413	Citizens Co-Op. Bank Ltd, India	bank	1	1
37	57	City Union Bank, India	bank	1	1
38	15	Corporation Bank, India	bank	1	1
39	16	DBS Bank, India	bank	1	1
40	18	DCB, India	bank	1	1
41	249	Deepak Sahakari Bank Ltd, India	bank	1	1
42	17	Dena Bank, India	bank	1	1
43	49	Deutsche Bank, India	bank	1	1
44	71	Dhanalakshmi Bank Ltd., India	bank	1	1
45	192	Dombivli Nagari Sahakari Bank, India	bank	1	1
46	200	Dr. Annasaheb Chougule Urban Co-Op. Bank Ltd., India	bank	1	1
47	224	Equitas Bank, India	bank	1	1
48	19	Federal Bank, India	bank	1	1
49	152	Fin Growth Co-Op bank Ltd., India	bank	1	1
50	388	Fino Payment Bank , India	bank	1	1
51	173	GP Parsik Bank, India	bank	1	1
52	265	Greater Bombay Co-op Bank Ltd, India	bank	1	1
53	186	Gujarat Ambuja Co-Op Bank Ltd., India	bank	1	1
54	530	Gujarat State Co-Op. Bank Ltd, India	bank	1	1
55	20	HDFC Bank, India	bank	1	1
56	21	HSBC, India	bank	1	1
57	508	Himatnagar Nagarik Sahakari Bank Ltd, India	bank	1	1
58	260	Hindusthan Co-Op Bank Ltd, India	bank	1	1
59	22	ICICI Bank, India	bank	1	1
60	23	IDBI, India	bank	1	1
61	140	IDFC Bank, India	bank	1	1
62	469	Imphal Urban Co-operative Bank Ltd, India	bank	1	1
63	24	Indian Bank, India	bank	1	1
64	25	Indian Overseas Bank, India	bank	1	1
65	26	IndusInd Bank, India	bank	1	1
66	27	J&K Bank, India	bank	1	1
67	479	Jai Tuljabhavani Urban Co-Op Bank, India	bank	1	1
68	509	Jalgaon Peoples Co-Op Bank Ltd, India	bank	1	1
69	250	Jalore Nagrik Sah Bank Ltd, India	bank	1	1
70	538	Jana Small Finance Bank Ltd, India	bank	1	1
71	251	Janaseva Sahakari Bank Ltd, India	bank	1	1
72	158	Janata Sahakari Bank, India	bank	1	1
73	394	Janatha Seva Co-Op. Bank Ltd, India	bank	1	1
74	466	Jankalyan Sahakari Bank, India	bank	1	1
75	252	JayPrakash Narayan Nagari Sahakari Bank Ltd, India	bank	1	1
76	412	Kallappanna Awade Ichalkaranji Janata Sahakari Bank, India	bank	1	1
77	343	Kalyan Janata Sahakari Bank Ltd, India	bank	1	1
78	225	Kangra Co-op Bank Ltd, India	bank	1	1
79	51	Karnataka Bank, India	bank	1	1
80	533	Karnataka Vikas Grameena Bank Ltd, India	bank	1	1
81	50	Karur Vysya Bank, India	bank	1	1
82	164	Kashipur Urban Co-Op Bank Ltd., India	bank	1	1
83	501	Kaveri Grameena Bank, India	bank	1	1
84	539	Kerala Gramin Bank Ltd, India	bank	1	1
85	227	Khamgaon Urbank Co-op Bank Ltd, India	bank	1	1
86	513	Kokan Mercantile Co-Op. Bank Ltd, India	bank	1	1
87	28	Kotak Mahindra Bank, India	bank	1	1
88	399	Kukarwada Nagrik Sahakari Bank, India	bank	1	1
89	165	Kurmanchal Bank, India	bank	1	1
90	77	Lakshmi Vilas Bank, India	bank	1	1
91	503	Langpi Dehangi Rural Bank, India	bank	1	1
92	476	Latur Urban Co-Op. Bank Ltd, India	bank	1	1
93	510	Lokmangal Co-Op Bank Ltd, India	bank	1	1
94	460	M S Co-Op. Bank Ltd, India	bank	1	1
95	400	Mahanagar Co-Op. Bank Ltd, India	bank	1	1
96	175	Maharastra Gramin Bank, India	bank	1	1
97	174	Mahesh Bank, India	bank	1	1
98	261	Mahila Vikash Co-Op Bank Ltd, India	bank	1	1
99	384	Maninagar Co-Op. Bank Ltd, India	bank	1	1
100	529	Manorama Co-Op. Bank Ltd, India	bank	1	1
101	369	Msant Sopankaka Sahakari Bank Ltd, India	bank	1	1
102	392	Nagar Urban Co-Op. Bank Ltd, India	bank	1	1
103	166	Nainital Bank, India	bank	1	1
104	463	Naroda Nagrik Co-Op. Bank Ltd, India	bank	1	1
105	253	Navapur Mercantile Co-Op Bank Ltd, India	bank	1	1
106	197	Navnirman Co-op Bank Ltd, India	bank	1	1
107	458	Navsarjan Industrial Co-Op. Bank Ltd, India	bank	1	1
108	199	Nawanagar Co-op Bank Ltd, India	bank	1	1
109	474	Neelkanth Co-Op. Bank Ltd, India	bank	1	1
110	178	New India Co-Op Bank Ltd., India	bank	1	1
111	459	Nidhi Co-Op. Bank Ltd, India	bank	1	1
112	477	Noida Commercial Co-Op. Bank Ltd, India	bank	1	1
113	376	Nutan Nagarik Sahakari Bank Ltd., India	bank	1	1
114	502	Omkar Nagreeya Sahakari Bank, India	bank	1	1
115	254	Omprakash Deora Peoples Co-Op Bank Ltd, India	bank	1	1
116	29	Oriental Bank of Commerce, India	bank	1	1
117	266	Osmanabad Janata Sahakari Bank Ltd, India	bank	1	1
118	194	Pandharpur Urban Co-op Bank Ltd, India	bank	1	1
119	456	Panipat Urban Co-Op. Bank Ltd, India	bank	1	1
120	177	Parshwanath Co-Op. Bank Ltd., India	bank	1	1
121	462	Patan Nagarik Sahakari Bank Ltd, India	bank	1	1
122	268	Paytm Payments Bank, India	bank	1	1
123	255	Peoples Co-Op Bank Ltd, India	bank	1	1
124	505	Pimpri Chinchwad Sahakari Bank Maryadit Pimpri, India	bank	1	1
125	480	Pragati Sahakari Bank, India	bank	1	1
126	396	Prathama Bank , India	bank	1	1
127	525	Prerana Co-Op. Bank Ltd, India	bank	1	1
128	520	Prime Co-Op. Bank Ltd, India	bank	1	1
129	475	Progressive Merc. Co-Op. Bank Ltd, India	bank	1	1
130	189	Pune Peoples Co-Op Bank, India	bank	1	1
131	324	Pune Urban Co-Op Bank Ltd, India	bank	1	1
132	30	Punjab National Bank, India	bank	1	1
133	31	Punjab and Sind Bank, India	bank	1	1
134	471	Purvanchal Bank Ltd, India	bank	1	1
135	257	Pusad Urban Co-Op Bank Ltd, India	bank	1	1
136	81	RBL (Ratnakar) Bank, India	bank	1	1
137	48	RBS (ABN AMRO), India	bank	1	1
138	390	Rajasthan Marudhara Gramin Bank, India	bank	1	1
139	517	Rajkot Commercial Co-Op. Bank Ltd, India	bank	1	1
140	195	Rajkot Peoples Co-Op Bank Ltd., India	bank	1	1
141	527	Ramgarhia Co-Op. Bank Ltd, India	bank	1	1
142	467	SUCO Bank, India	bank	1	1
143	537	Sadhana Sahakari Bank Ltd, India	bank	1	1
144	535	Samata Sahkari Bank Ltd, India	bank	1	1
145	455	Sangli Urban Co-Op. Bank Ltd, India	bank	1	1
146	523	Sangola Urban Co-Op. Bank Ltd, India	bank	1	1
147	528	Sanmati Sahakari Bank Ltd, India	bank	1	1
148	344	Sarangpur Co-Op. Bank Ltd, India	bank	1	1
149	185	Saraspur Nagarik Co-Op Bank Ltd., India	bank	1	1
150	72	Saraswat Bank, India	bank	1	1
151	540	Sarva UP Gramin Bank Ltd, India	bank	1	1
152	393	Sarvodaya Sahakari Bank, India	bank	1	1
153	386	Saurashtra Gramin Bank, India	bank	1	1
154	532	Sharada Sahkari Bank Ltd, India	bank	1	1
155	506	Shirpur People Co-Op Bank Ltd, India	bank	1	1
156	258	Shivajirao Bhosale Sahakari Bank Ltd, India	bank	1	1
157	389	Shivalik Mercantile Co-Op. Bank Ltd, India	bank	1	1
158	375	Shree Co-Op. Bank Ltd, India	bank	1	1
159	349	Shree Kadi Nagarik Sahakari Bank Ltd, India	bank	1	1
160	524	Shree Mahesh Co-Op. Bank Ltd, India	bank	1	1
161	159	Shree Samarth Sahakari Bank, India	bank	1	1
162	522	Shri Anand Co-Op. Bank Ltd, India	bank	1	1
163	259	Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd, India	bank	1	1
164	518	Shri Veershaiv Co-Op. Bank Ltd, India	bank	1	1
165	478	Smriti Nagrik Sahakari Bank, India	bank	1	1
166	391	Solapur Janata Sahakari Bank, India	bank	1	1
167	52	South Indian Bank, India	bank	1	1
168	397	Sree Mahayogi Lakshmamma Co-Op. Bank Ltd, India	bank	1	1
169	32	Standard Chartered Bank, India	bank	1	1
170	35	State Bank of India, India	bank	1	1
171	481	Sterling Urban Co-Op Bank, India	bank	1	1
172	461	Sundarlal Sawji Urban Co-Op. Bank Ltd, India	bank	1	1
173	473	Surat District Co-Op. Bank Ltd, India	bank	1	1
174	464	Surat National Co-Op. Bank Ltd, India	bank	1	1
175	244	Surat Peoples Co-op Bank Ltd, India	bank	1	1
176	507	Suryoday Small Finance Bank Ltd, India	bank	1	1
177	41	Syndicate Bank, India	bank	1	1
178	75	Tamilnad Mercantile Bank Ltd., India	bank	1	1
179	500	Telangana Grameena Bank, India	bank	1	1
180	415	Texco Co-Op. Bank Ltd, India	bank	1	1
181	401	Textile Traders Co-Op. Bank Ltd, India	bank	1	1
182	226	Thane Bharat Sahakari Bank Ltd, India	bank	1	1
183	180	The Adinath Co-Operative Bank Ltd., India	bank	1	1
184	167	The Banaskantha Mercantile Co. Operative Bank Ltd, India	bank	1	1
185	168	The Bhuj Mercantile Coop.Bank Ltd., India	bank	1	1
186	162	The Co-Operative Bank of Rajkot, India	bank	1	1
187	188	The Financial Co-Op Bank Ltd., India	bank	1	1
188	169	The Gandhidham Mercantile Co-operative Bank Ltd., India	bank	1	1
189	170	The Gayatri Co-Operative Urban Bank Ltd., India	bank	1	1
190	154	The Kalupur Commercial Co.op. Bank Ltd., India	bank	1	1
191	176	The Karad Urban Co-op Bank, India	bank	1	1
192	91	The Mehsana Urban Co-op Bank Ltd., India	bank	1	1
193	190	The Sabarkantha District Central Co-Op Bank Ltd., India	bank	1	1
194	181	The Satara Sahakari Bank Ltd., India	bank	1	1
195	179	The Seva Vikas Co-Operative Bank Ltd., India	bank	1	1
196	512	Tumkur Grain Merchants Credit Co-Op. Bank Ltd, India	bank	1	1
197	416	Tumkur Merchants Credit Co-Op. Bank Ltd, India	bank	1	1
198	42	UCO Bank, India	bank	1	1
199	191	Ujjivan Bank, India	bank	1	1
200	514	Uma Co-Op. Bank Ltd, India	bank	1	1
201	43	Union Bank of India, India	bank	1	1
202	44	United Bank of India, India	bank	1	1
203	470	United Co-Op. Bank Ltd, India	bank	1	1
204	465	Utkarsh Small Finance Bank, India	bank	1	1
205	341	Uttarakhand Gramin Bank, India	bank	1	1
206	262	Vaidyanath Urban Co-op Bank Ltd, India	bank	1	1
207	454	Vaijapur Merchants Co-Op. Bank Ltd, India	bank	1	1
208	163	Vaishya Nagari Sahakari Bank, India	bank	1	1
209	157	Varachha Co-op Bank Ltd., India	bank	1	1
210	302	Vasai Vikas Sahakari Bank Ltd, India	bank	1	1
211	418	Veerashaiva Sahakari Bank Ltd, India	bank	1	1
212	511	Veraval Mercantile Co-Op Bank Ltd, India	bank	1	1
213	398	Vidarbha Merchants Urban Co-Op. Bank Ltd, India	bank	1	1
214	534	Vidya Sahkari Bank Ltd, India	bank	1	1
215	519	Vijay Co-Op. Bank Ltd, India	bank	1	1
216	45	Vijaya Bank, India	bank	1	1
217	171	Vikramaditya Nagrik Sahakari Bank, India	bank	1	1
218	457	Vishweshwar Sahakari Bank Ltd, India	bank	1	1
219	263	Vita Merchants Co-Op Bank Ltd, India	bank	1	1
220	198	Vysya Co-op Bank Ltd, India	bank	1	1
221	160	Wai Urban Co-Operative Bank, India	bank	1	1
222	46	Yes Bank, India	bank	1	1
223	184	Yeshwant Urban Co-Op Bank Ltd., India	bank	1	1
224	172	Zoroastrian Bank, India	bank	1	1
225	6	Andhra Bank, India	bank	1	2
226	2	Axis Bank, India	bank	1	2
227	8	Bank of Baroda, India	bank	1	2
228	9	Bank of India, India	bank	1	2
229	10	Bank of Maharashtra, India	bank	1	2
230	11	Canara Bank, India	bank	1	2
231	12	Central Bank of India, India	bank	1	2
232	14	Citibank, India	bank	1	2
233	57	City Union Bank, India	bank	1	2
234	15	Corporation Bank, India	bank	1	2
235	16	DBS Bank, India	bank	1	2
236	18	DCB, India	bank	1	2
237	17	Dena Bank, India	bank	1	2
238	49	Deutsche Bank, India	bank	1	2
239	19	Federal Bank, India	bank	1	2
240	20	HDFC Bank, India	bank	1	2
241	21	HSBC, India	bank	1	2
242	22	ICICI Bank, India	bank	1	2
243	23	IDBI, India	bank	1	2
244	140	IDFC Bank, India	bank	1	2
245	24	Indian Bank, India	bank	1	2
246	25	Indian Overseas Bank, India	bank	1	2
247	26	IndusInd Bank, India	bank	1	2
248	51	Karnataka Bank, India	bank	1	2
249	50	Karur Vysya Bank, India	bank	1	2
250	28	Kotak Mahindra Bank, India	bank	1	2
251	29	Oriental Bank of Commerce, India	bank	1	2
252	30	Punjab National Bank, India	bank	1	2
253	81	RBL (Ratnakar) Bank, India	bank	1	2
254	72	Saraswat Bank, India	bank	1	2
255	52	South Indian Bank, India	bank	1	2
256	32	Standard Chartered Bank, India	bank	1	2
257	35	State Bank of India, India	bank	1	2
258	41	Syndicate Bank, India	bank	1	2
259	75	Tamilnad Mercantile Bank Ltd., India	bank	1	2
260	42	UCO Bank, India	bank	1	2
261	43	Union Bank of India, India	bank	1	2
262	44	United Bank of India, India	bank	1	2
263	45	Vijaya Bank, India	bank	1	2
264	46	Yes Bank, India	bank	1	2
265	541	Agrasen Co-op Urban Bank Ltd, India	bank	1	1
266	542	Deendayal Nagari Sahakari Bank Ltd, India	bank	1	1
267	543	Gandhibag Sahakari Bank Ltd, India	bank	1	1
